"dates";"SMB_val"
"2018-12-31";0.029654400033072674
"2018-12-28";0.3416905902976934
"2018-12-27";-0.16385947676722545
"2018-12-24";-0.03652189174339236
"2018-12-21";0.0074603573610962925
"2018-12-20";0.039484967745534144
"2018-12-19";-0.09494137360392564
"2018-12-18";0.0554438507088615
"2018-12-17";-0.03398432260445851
"2018-12-14";-0.006231507546772819
"2018-12-13";-0.004740187912209513
"2018-12-12";0.003176163670358237
"2018-12-11";0.04301200697017866
"2018-12-10";0.026379480599263233
"2018-12-07";0.016408838839508177
"2018-12-06";0.12238016231812908
"2018-12-05";-0.014662039094835932
"2018-12-04";0.08152466892521412
"2018-12-03";-0.004297973077276265
"2018-11-30";0.011486257616077536
"2018-11-29";-0.032282851366974806
"2018-11-28";0.036914914943531496
"2018-11-27";0.0486811056119633
"2018-11-26";-0.03761262830002801
"2018-11-23";-0.007252114316695597
"2018-11-22";0.05511848079564143
"2018-11-21";-0.18100797629247228
"2018-11-20";0.07893528119937432
"2018-11-19";0.05496116790814144
"2018-11-16";-0.10239638291347831
"2018-11-15";-0.040093306038976685
"2018-11-14";0.019441235696690554
"2018-11-13";0.04398535449438944
"2018-11-12";-0.09176421707629392
"2018-11-09";0.059298972717482135
"2018-11-08";0.06946393182553189
"2018-11-07";-0.15772269127100158
"2018-11-06";-0.11547574536303551
"2018-11-05";-0.006146460946282489
"2018-11-02";0.09649732159965217
"2018-11-01";-0.07183084784792791
"2018-10-31";0.029526841831657866
"2018-10-30";-0.051444469065647244
"2018-10-29";0.1168747706208522
"2018-10-26";0.050526233573673834
"2018-10-25";-0.04516536226494781
"2018-10-24";0.07025390954789948
"2018-10-23";0.029939172677691063
"2018-10-22";0.1064901459259461
"2018-10-19";0.014158657400205148
"2018-10-18";0.09919853498160011
"2018-10-17";0.006174307566500108
"2018-10-16";0.04578808719655901
"2018-10-15";-0.09498468084272205
"2018-10-12";-0.0495376580512189
"2018-10-11";-0.02656836362095806
"2018-10-10";0.053247328693308504
"2018-10-09";-0.027202463206723048
"2018-10-05";-0.09591313049177914
"2018-10-04";-0.04815326588440297
"2018-10-03";-0.10281581665466394
"2018-10-02";0.08506454563875829
"2018-10-01";-0.00728996630474071
"2018-09-28";0.040654415046621636
"2018-09-27";-0.02255588351439539
"2018-09-26";0.04259075061763545
"2018-09-25";0.04394065480002744
"2018-09-24";-0.057226957735990625
"2018-09-21";0.02127609420400431
"2018-09-20";0.016501505760236818
"2018-09-19";0.09119795335643613
"2018-09-18";-0.05233959394389382
"2018-09-17";-0.035326866324522276
"2018-09-14";0.008826529035613255
"2018-09-13";0.2975660911421464
"2018-09-12";-0.01698422401080866
"2018-09-11";0.10266701530355066
"2018-09-10";-0.024255129191116245
"2018-09-07";0.010409837617862922
"2018-09-06";-0.01980786525625642
"2018-09-05";0.09184733625678519
"2018-09-04";-0.1720854376425286
"2018-08-31";0.02201076106100096
"2018-08-30";-0.05514088039650071
"2018-08-29";-0.10541115212201224
"2018-08-28";0.06299522999813265
"2018-08-27";-0.05336845257346609
"2018-08-24";-0.1252963796951437
"2018-08-23";-0.009265467213658687
"2018-08-22";-0.09419660072436342
"2018-08-21";0.05557675564035359
"2018-08-20";-0.12128839322795915
"2018-08-17";-0.08786260389539109
"2018-08-16";0.0005613811551639057
"2018-08-15";-0.2428628476032414
"2018-08-14";-0.012987867319940834
"2018-08-13";0.1261435389912346
"2018-08-10";0.0019205913864164988
"2018-08-09";-0.1068323170294499
"2018-08-08";-0.04454476787764042
"2018-08-07";0.13331051038136346
"2018-08-03";0.015291701324402558
"2018-08-02";0.029851432139826536
"2018-08-01";0.06789834342677915
"2018-07-31";0.016563991971378103
"2018-07-30";0.032652626098390314
"2018-07-27";0.10374730591079304
"2018-07-26";0.3587923443031597
"2018-07-25";-0.09161828767716036
"2018-07-24";0.10622554768065928
"2018-07-23";-0.07348244034119061
"2018-07-20";0.035264415104827404
"2018-07-19";-0.016420625981987142
"2018-07-18";-0.019054728259340122
"2018-07-17";0.07743048608695043
"2018-07-16";0.052189398214636765
"2018-07-13";0.0053506721821746026
"2018-07-12";-0.02953041192173553
"2018-07-11";0.002702879916542259
"2018-07-10";-0.0060357696979122175
"2018-07-09";-0.019791654254823272
"2018-07-06";0.01854167288843152
"2018-07-05";0.007509081501637503
"2018-07-04";-0.035966418586289614
"2018-07-03";0.05693390061335874
"2018-06-29";0.028009234358050396
"2018-06-28";-0.049421590624023105
"2018-06-27";0.07350755379081886
"2018-06-26";0.053079033229547976
"2018-06-25";0.04808699543152323
"2018-06-22";0.04756207969115663
"2018-06-21";-0.07705335636924154
"2018-06-20";-0.14139748019754275
"2018-06-19";-0.0028359707212373755
"2018-06-18";-0.03417408372731425
"2018-06-15";-0.03397785186132359
"2018-06-14";-0.01797423835385023
"2018-06-13";-0.04904048043595082
"2018-06-12";0.011389622442528724
"2018-06-11";-0.011809891523359786
"2018-06-08";0.05043082941485638
"2018-06-07";0.058717098989912106
"2018-06-06";-0.14376598997848936
"2018-06-05";-0.018003704671104286
"2018-06-04";-0.19652165615967981
"2018-06-01";-0.0032034580309626692
"2018-05-31";-0.07799615656140858
"2018-05-30";0.04026644682606033
"2018-05-29";-0.0653221153073887
"2018-05-28";0.04197448024719695
"2018-05-25";0.14282992080852708
"2018-05-24";0.03333004532433574
"2018-05-23";0.024585514482454728
"2018-05-22";-0.05248808989598607
"2018-05-18";-0.11092229356632469
"2018-05-17";0.004145387382459925
"2018-05-16";-0.011280701170903226
"2018-05-15";0.04028957055814776
"2018-05-14";-0.07319199861485484
