"d1";"HML_val"
"2018-12-31";14.3485
"2018-12-28";9.858500000000001
"2018-12-27";9.783666666666663
"2018-12-24";11.486666666666666
"2018-12-21";11.321000000000002
"2018-12-20";9.633999999999999
"2018-12-19";9.903666666666666
"2018-12-18";10.121
"2018-12-17";9.665666666666665
"2018-12-14";10.207666666666666
"2018-12-13";10.564333333333332
"2018-12-12";10.814
"2018-12-11";10.658333333333333
"2018-12-10";10.610666666666667
"2018-12-07";10.558833333333332
"2018-12-06";10.624500000000003
"2018-12-05";10.413666666666664
"2018-12-04";10.629999999999999
"2018-12-03";10.935999999999998
"2018-11-30";10.809333333333335
"2018-11-29";11.104
"2018-11-28";11.155833333333335
"2018-11-27";10.360000000000001
"2018-11-26";10.481000000000002
"2018-11-23";10.510333333333332
"2018-11-22";10.563333333333334
"2018-11-21";10.456666666666667
"2018-11-20";10.075999999999997
"2018-11-19";10.157666666666668
"2018-11-16";10.613666666666665
"2018-11-15";10.49966666666667
"2018-11-14";10.322333333333333
"2018-11-13";10.890666666666668
"2018-11-12";10.990833333333336
"2018-11-09";11.213333333333335
"2018-11-08";12.176166666666669
"2018-11-07";12.523333333333332
"2018-11-06";12.055166666666668
"2018-11-05";11.758833333333332
"2018-11-02";11.630166666666668
"2018-11-01";11.511
"2018-10-31";13.339666666666664
"2018-10-30";12.97166666666667
"2018-10-29";12.608500000000001
"2018-10-26";10.129333333333332
"2018-10-25";10.122666666666666
"2018-10-24";12.558333333333334
"2018-10-23";10.312000000000001
"2018-10-22";10.692666666666666
"2018-10-19";10.729333333333335
"2018-10-18";11.222666666666665
"2018-10-17";11.293333333333331
"2018-10-16";11.547666666666668
"2018-10-15";11.295333333333334
"2018-10-12";10.921416666666666
"2018-10-11";10.669833333333331
"2018-10-10";10.583833333333333
"2018-10-09";11.157333333333328
"2018-10-05";11.363666666666665
"2018-10-04";11.384333333333338
"2018-10-03";11.521333333333336
"2018-10-02";11.283
"2018-10-01";11.729666666666665
"2018-09-28";13.524666666666668
"2018-09-27";13.687999999999999
"2018-09-26";13.713
"2018-09-25";13.725666666666667
"2018-09-24";13.757000000000001
"2018-09-21";13.497
"2018-09-20";13.702333333333332
"2018-09-19";13.474333333333332
"2018-09-18";13.488499999999998
"2018-09-17";13.118999999999996
"2018-09-14";13.109416666666664
"2018-09-13";12.838499999999998
"2018-09-12";13.547166666666664
"2018-09-11";13.842999999999996
"2018-09-10";13.870999999999999
"2018-09-07";13.651416666666664
"2018-09-06";13.589749999999997
"2018-09-05";13.922999999999998
"2018-09-04";14.025166666666669
"2018-08-31";13.508249999999997
"2018-08-30";13.354916666666664
"2018-08-29";13.232666666666667
"2018-08-28";12.831666666666669
"2018-08-27";13.127499999999994
"2018-08-24";13.015833333333337
"2018-08-23";12.50525
"2018-08-22";12.358416666666663
"2018-08-21";11.963999999999999
"2018-08-20";11.916583333333332
"2018-08-17";11.73525
"2018-08-16";11.672666666666665
"2018-08-15";11.82091666666667
"2018-08-14";15.26625
"2018-08-13";15.066749999999999
"2018-08-10";14.741249999999997
"2018-08-09";14.763000000000002
"2018-08-08";14.4345
"2018-08-07";14.349999999999998
"2018-08-03";14.48
"2018-08-02";14.424750000000003
"2018-08-01";14.248750000000001
"2018-07-31";14.309249999999999
"2018-07-30";14.04125
"2018-07-27";14.826000000000004
"2018-07-26";16.07475
"2018-07-25";16.28000000000001
"2018-07-24";15.9998
"2018-07-23";16.225400000000004
"2018-07-20";16.4152
"2018-07-19";16.591599999999993
"2018-07-18";16.331200000000003
"2018-07-17";16.250249999999998
"2018-07-16";15.927600000000002
"2018-07-13";16.137749999999997
"2018-07-12";16.31975
"2018-07-11";15.661999999999999
"2018-07-10";15.854500000000002
"2018-07-09";15.657749999999997
"2018-07-06";15.375249999999998
"2018-07-05";11.77016666666667
"2018-07-04";15.1035
"2018-07-03";15.244
"2018-06-29";16.91125
"2018-06-28";16.793
"2018-06-27";16.96125
"2018-06-26";13.181333333333328
"2018-06-25";13.167666666666669
"2018-06-22";13.542416666666671
"2018-06-21";13.76616666666666
"2018-06-20";13.654250000000005
"2018-06-19";13.190500000000005
"2018-06-18";17.400250000000003
"2018-06-15";17.32425
"2018-06-14";17.194999999999997
"2018-06-13";17.0375
"2018-06-12";17.05325
"2018-06-11";16.973499999999998
"2018-06-08";16.985000000000003
"2018-06-07";16.91575
"2018-06-06";17.188000000000002
"2018-06-05";17.174
"2018-06-04";16.9765
"2018-06-01";16.79275
"2018-05-31";16.791000000000004
"2018-05-30";16.652
"2018-05-29";16.210399999999993
"2018-05-28";16.336399999999998
"2018-05-25";16.3722
"2018-05-24";16.3176
"2018-05-23";15.983999999999995
"2018-05-22";15.917399999999994
"2018-05-18";16.159750000000003
"2018-05-17";15.757699999999994
"2018-05-16";15.8354
"2018-05-15";15.777799999999996
"2018-05-14";15.870000000000001
"2018-05-11";15.896749999999999
"2018-05-10";15.834199999999996
"2018-05-09";15.956500000000002
"2018-05-08";15.684599999999994
"2018-05-07";15.706600000000002
"2018-05-04";15.508750000000001
"2018-05-03";15.475249999999997
"2018-05-02";15.296000000000001
"2018-05-01";15.530799999999996
"2018-04-30";15.130400000000005
"2018-04-27";15.1158
"2018-04-26";14.836799999999998
"2018-04-25";14.860000000000001
"2018-04-24";14.873599999999996
"2018-04-23";14.9726
"2018-04-20";14.7318
"2018-04-19";14.621799999999997
"2018-04-18";14.9828
"2018-04-17";14.890799999999997
"2018-04-16";14.624
"2018-04-13";14.286200000000003
"2018-04-12";14.2986
"2018-04-11";13.972900000000005
